Faculty Member,Department,Role
J. T. Sanders,Religious Studies, professor emeritus 
Akiko Walley,Religious Studies, history of art and architecture 
Alexandre Albert-Galtier,Romance Languages," associate professor (17th-century French theater, art, and literature) "
Olga M. Avalos,Romance Languages, senior instructor (Spanish) 
Mayra Bottaro,Romance Languages," acting assistant professor (18th- and 19th-century Spanish American literature and culture, transatlantic studies, print and material culture) "
Nadia Ceccacci,Romance Languages," senior instructor (Italian); supervisor-coordinator, first- and second-year Italian programs "
Amy Costales,Romance Languages, instructor (Spanish) 
Lillian Darwin Lopez,Romance Languages, instructor (Spanish) 
Simone Da Silva,Romance Languages," instructor (Portuguese); supervisor-coordinator, Portuguese program "
Laurie deGonzalez,Romance Languages," senior instructor; supervisor-co-coordinator, first-year Spanish program "
Juanita Devereaux,Romance Languages, senior instructor (Spanish) 
Paula Ellister,Romance Languages," senior instructor; supervisor–co-coordinator, first-year Spanish program "
Hilary Fisher,Romance Languages," senior instructor; supervisor-coordinator, first-year French program "
Claudia Holguin,Romance Languages," assistant professor (Spanish, sociolinguistics, language variation) "
Harinder Kaur Khalsa,Romance Languages, senior instructor (Italian) 
Mónica Lara,Romance Languages, senior instructor (Spanish) 
Kelley León Howarth,Romance Languages," senior instructor (Spanish); cohead, undergraduate advising "
Shelley Merello,Romance Languages, senior instructor (Spanish) 
Bryan J. Moore,Romance Languages, senior instructor (Spanish) 
Rosario Murcia,Romance Languages," senior instructor; supervisor-coordinator, second-year Spanish program "
Heather Quarles,Romance Languages, senior instructor (Spanish) 
Sergio Rigoletto,Romance Languages," assistant professor (European cinema, popular culture, gender studies) "
Andrew Rothgery,Romance Languages, senior instructor (Spanish) 
Nathan Whalen,Romance Languages, senior instructor (Spanish) 
Melanie Williams,Romance Languages," senior instructor (French); cohead, undergraduate advising "
Gloria Zabala,Romance Languages, senior instructor (Spanish) 
Alex Zunterstein,Romance Languages, senior instructor (Spanish) 
Randi M. Brox,Romance Languages, professor emerita 
Françoise G. Calin,Romance Languages, professor emerita 
David J. Curland,Romance Languages, senior instructor emeritus 
Richard H. Desroches,Romance Languages, associate professor emeritus 
Sylvia Giustina,Romance Languages, senior instructor emerita 
Elisabeth A. Marlow,Romance Languages, associate professor emerita 
Barbara D. May,Romance Languages, associate professor emerita 
Steven Rendall,Romance Languages, professor emeritus 
Wolfgang F. Sohlich,Romance Languages, associate professor emeritus 
Luis Verano,Romance Languages, senior instructor emeritus 
Yelaina Kripkov,"Russian, East European, and Eurasian Studies"," senior instructor (Russian language, culture); coordinator, Russian language program "
Julia Nemirovskaya,"Russian, East European, and Eurasian Studies", instructor (Russian literature and theater) 
Heghine Hakobyan,"Russian, East European, and Eurasian Studies", UO Libraries 
Susanna Soojung Lim,"Russian, East European, and Eurasian Studies", honors college (19th- and 20th-century Russian literature) 
Caleb Southworth,"Russian, East European, and Eurasian Studies"," sociology (economic sociology, postsocialist societies, quantitative-historical methods) "
Richard Morris,"Russian, East European, and Eurasian Studies", courtesy professor (Russian and East European regional studies) 
Tamara Morris,"Russian, East European, and Eurasian Studies"," courtesy professor (Russian language, culture of “Old Believers”) "
Nathan Rosen,"Russian, East European, and Eurasian Studies", courtesy professor (Russian literature) 
Esther Jacobson-Tepfer,"Russian, East European, and Eurasian Studies", history of art and architecture 
Ronald Wixman,"Russian, East European, and Eurasian Studies", geography 
John E. Bonine,"Russian, East European, and Eurasian Studies", law 
Sergio Koreisha,Scandinavian Studies, decision sciences 
Sonja Rasmussen,Scandinavian Studies, International Resource Center 
Michael G. Raymer,Scandinavian Studies, physics 
Roxi Thoren,Scandinavian Studies, landscape architecture 
Glenda Fravel Utsey,Scandinavian Studies, architecture 
Scott Coltrane,Sociology," professor (family, gender, social psychology); interim president "
Michael C. Dreiling,Sociology," associate professor (political sociology, environmental sociology, social movements) "
James R. Elliott,Sociology," professor (stratification, urban sociology, environment) "
Aaron O. Gullickson,Sociology," associate professor (race and ethnicity, stratification, demography) "
Patricia A. Gwartney,Sociology," professor (social demography, methods, stratification) "
Jill A. Harrison,Sociology," assistant professor (work, organizations, qualitative methods) "
Jocelyn Hollander,Sociology," professor (gender, microsociology, social inequality) "
Ryan Light,Sociology," assistant professor (cultural sociology, inequality, social networks) "
Kari Norgaard,Sociology," associate professor (environmental and cultural sociology, sociology of emotions) "
Matthew Norton,Sociology," assistant professor (political and cultural sociology, theory) "
"Cheri ""C.J."" Pascoe",Sociology," assistant professor (sexuality and gender, childhood and youth, new media) "
Elaine Replogle,Sociology," adjunct instructor (sociology of medicine and mental health, culture, qualitative methods) "
Ellen K. Scott,Sociology," professor (gender, social inequality, qualitative methods) "
Jiannbin Lee Shiao,Sociology," associate professor (race and ethnicity, research methods, Asian America) "
Richard York,Sociology," professor (environmental sociology, statistics, research methods) "
Joan R. Acker,Sociology, professor emerita 
Steven Deutsch,Sociology, professor emeritus 
Benton Johnson,Sociology, professor emeritus 
Kenneth B. Liberman,Sociology, professor emeritus 
David Milton,Sociology, professor emeritus 
Robert M. O'Brien,Sociology, professor emeritus 
Donald R. Van Houten,Sociology, professor emeritus 
Alexandra Bonds,Theater Arts, professor (costume designer) 
Bradley Branam,Theater Arts," assistant professor (technical direction, media design) "
La Donna Forsgren,Theater Arts," assistant professor (African American theater, Black feminist theories and drama, playwriting) "
Joseph Gilg,Theater Arts," instructor (acting, directing) "
Jerry Hooker,Theater Arts, associate professor (scene designer) 
Theresa May,Theater Arts," assistant professor (dramatic literature, acting) "
Janet Rose,Theater Arts," senior instructor (technical director, lighting designer) "
Robert Barton,Theater Arts, professor emeritus 
Faber B. DeChaine,Theater Arts, professor emeritus 
Grant F. McKernie,Theater Arts, professor emeritus 
John C. Watson,Theater Arts, associate professor emeritus 
Jerry R. Williams,Theater Arts, professor emeritus 
Oluwakemi Balogun,Women's and Gender Studies," assistant professor (globalization, nationalism, African studies) "
Barbara Corrado Pope,Women's and Gender Studies, professor emerita 
Barbara Bader Aldave,Women's and Gender Studies, law 
Laura J. Alpert,Women's and Gender Studies, art 
Sara N. Brownmiller,Women's and Gender Studies, library 
Krista Chronister,Women's and Gender Studies, counseling psychology and human services 
Frances B. Cogan,Women's and Gender Studies, honors college 
Caroline Forell,Women's and Gender Studies, law 
Linda M. Forrest,Women's and Gender Studies, counseling psychology and human services 
Jennifer J. Freyd,Women's and Gender Studies, psychology 
Michael Hames-Garcia,Women's and Gender Studies, ethnic studies 
Leslie J. Harris,Women's and Gender Studies, law 
Lauren J. Kessler,Women's and Gender Studies, journalism and communication 
Cheris Kramarae,Women's and Gender Studies, Center for the Study of Women in Society 
Mary K. Rothbart,Women's and Gender Studies, psychology 
Suzanne E. Rowe,Women's and Gender Studies, law 
Nancy E. Shurtz,Women's and Gender Studies, law 
Mia Tuan,Women's and Gender Studies, education studies 
Dominick R. Vetri,Women's and Gender Studies, law 
Merle H. Weiner,Women's and Gender Studies, law 
Alice Barkan,Biology, professor (molecular genetics) 
Brendan J. M. Bohannan,Biology, professor (microbial ecology and evolution) 
Bruce A. Bowerman,Biology," professor (developmental genetics, regulation of the cytoskeleton in C "
William E. Bradshaw,Biology," professor (evolutionary genetics, population biology, evolutionary physiology) "
Scott D. Bridgham,Biology," professor (ecosystem ecology, plant community dynamics) "
Mark C. Carrier,Biology, senior instructor (developmental biology and physiology) 
John S. Conery,Biology, professor (computational biology) 
William A. Cresko,Biology, associate professor (evolutionary developmental genetics) 
Alan Dickman,Biology," senior instructor with title of research associate professor (forest ecology, science education) "
Chris Q. Doe,Biology," professor (development of the nervous system, neural stem cells, asymmetric cell division) "
Judith S. Eisen,Biology, professor (development and function of the nervous system) 
Richard B. Emlet,Biology, professor (evolution and development of marine invertebrates) 
Jessica L. Green,Biology, associate professor (applied theoretical ecology) 
Karen J. Guillemin,Biology," professor (bacterial pathogenesis, bacterial-host interactions in development) "
Victoria Herman,Biology, associate professor (development and function of nervous system in Drosophila) 
Janet Hodder,Biology," senior lecturer (ecology of marine birds and mammals, science education) "
Cristin L. Hulslander,Biology, senior instructor (behavioral ecology) 
Eric A. Johnson,Biology," associate professor (Drosophila genetics, genomics and cellular physiology) "
Alan J. Kelly,Biology," senior instructor (molecular and transmission genetics, microbiology) "
Shawn R. Lockery,Biology, professor (invertebrate neurobiology and neural networks) 
V. Patteson Lombardi,Biology," senior instructor with title of research assistant professor (human biology, medical physiology); director, undergraduate advising "
Svetlana Maslakova,Biology," associate professor (evolution, development and systematics of marine invertabrates) "
Cristopher M. Neill,Biology, assistant professor (development and function of neural circuits for visual processing) 
Peter M. O’Day,Biology, senior lecturer (cellular signaling) 
Patrick C. Phillips,Biology," professor (evolution, genetics, complex traits) "
John H. Postlethwait,Biology, professor (molecular genetic regulation and evolution of development and vertebrate genome evolution) 
William Roberts,Biology, professor (calcium signaling) 
Bitty A. Roy,Biology," professor (evolution, pathogen-host interactions, plant population ecology) "
Debbie Schlenoff,Biology," senior instructor (animal behavior and evolution, conservation biology) "
Eric Selker,Biology, professor (epigenetic mechanisms) 
Jeanne M. Selker,Biology, research associate (mitochondrial ultrastructure) 
Alan Shanks,Biology," professor (marine and intertidal ecology, larval biology, zooplankton) "
George F. Sprague Jr.,Biology, professor (genetic regulatory mechanisms in yeast) 
Karen U. Sprague,Biology, professor (control of gene expression in eukaryotes) 
Kryn Stankunas,Biology, assistant professor (chromatin and regulators as dynamic sources of epigenetic information during heart development) 
Carl A. Stiefbold,Biology, senior instructor (science laboratory education) 
Matthew A. Streisfeld,Biology," assistant professor (adaptation in natural plant populations) BS, 1998, Emory; PhD, 2005, California, San Diego "
Terry Takahashi,Biology, professor (analysis of neural circuitry) 
Joseph W. Thornton,Biology, professor (evolutionary genomics) 
Nathan J. Tublitz,Biology, professor (peptidergic regulation of behavior in insects and cephalopod mollusks) 
Philip E. Washbourne,Biology," associate professor (molecular neurobiology, synapse formation) "
Monte Westerfield,Biology, professor (molecular genetics of nervous system development) 
A. Michelle Wood,Biology," professor (microbial ecology and evolution, biological oceanography) "
Craig M. Young,Biology," professor (marine ecology, deep-sea biology, invertebrate embryology); director, Oregon Institute of Marine Biology "
Hui Zong,Biology, assistant professor (mouse molecular and cellular genetics) 
Steven S. Rumrill,Biology," courtesy research associate (estuarine ecology and management, larval biology of marine invertebrates) "
David H. Wagner,Biology," courtesy associate professor (plant taxonomy, ecology, evolution of bryophytes and pteridophytes) "
Andrew S. Bajer,Biology, professor emeritus 
Howard T. Bonnett Jr.,Biology, professor emeritus 
Roderick A. Capaldi,Biology, professor emeritus 
George C. Carroll,Biology, professor emeritus 
Richard W. Castenholz,Biology, professor emeritus 
Charles B. Kimmel,Biology, professor emeritus 
Frederick W. Munz,Biology, professor emeritus 
Paul P. Rudy,Biology, professor emeritus 
Eric Schabtach,Biology, senior instructor emeritus 
Lynda P. Shapiro,Biology, professor emerita 
Franklin W. Stahl,Biology, professor emeritus 
Nora B. Terwilliger,Biology, professor emerita 
Daniel Udovic,Biology, professor emeritus 
Norman K. Wessells,Biology," professor emeritus; provost emeritus, academic affairs "
James A. Weston,Biology, professor emeritus 
Herbert P. Wisner,Biology, senior instructor emeritus 
Andy Berglund,Chemistry and Biochemistry, professor (biochemistry) 
Shannon W. Boettcher,Chemistry and Biochemistry," assistant professor (inorganic, materials science) "
Jeffrey A. Cina,Chemistry and Biochemistry, professor (physical) 
Victoria J. De Rose,Chemistry and Biochemistry, professor (bioinorganic) 
Kenneth M. Doxsee,Chemistry and Biochemistry," professor (organic, materials science) "
Paul C. Engelking,Chemistry and Biochemistry, professor (physical) 
Deborah B. Exton,Chemistry and Biochemistry, senior instructor 
Marina G. Guenza,Chemistry and Biochemistry, professor (physical) 
Julie A. Haack,Chemistry and Biochemistry, senior instructor 
Michael M. Haley,Chemistry and Biochemistry, Richard M 
Diane K. Hawley,Chemistry and Biochemistry, professor (biochemistry) 
Darren W. Johnson,Chemistry and Biochemistry, professor (organic) 
David C. Johnson,Chemistry and Biochemistry, Rosaria P 
Michael E. Kellman,Chemistry and Biochemistry, professor (physical) 
Michael Koscho,Chemistry and Biochemistry, instructor (organic) 
Andrew H. Marcus,Chemistry and Biochemistry," professor (physical, materials science) "
George V. Nazin,Chemistry and Biochemistry, assistant professor (physical) 
Brad J. Nolen,Chemistry and Biochemistry, associate professor (biochemistry) 
Catherine J. Page,Chemistry and Biochemistry," associate professor (inorganic, materials science) "
Michael D. Pluth,Chemistry and Biochemistry, assistant professor (organic) 
Kenneth E. Prehoda,Chemistry and Biochemistry, professor (biochemistry) 
Geraldine L. Richmond,Chemistry and Biochemistry," University of Oregon Presidential Chair in Science; professor (physical, materials science) "
Tom H. Stevens,Chemistry and Biochemistry, Philip H 
"David R. ""Randy"" Sullivan",Chemistry and Biochemistry, senior instructor 
David R. Tyler,Chemistry and Biochemistry, Charles J 
Gregory M. Williams,Chemistry and Biochemistry, senior professor 
John Hardwick,Chemistry and Biochemistry, courtesy senior instructor and senior research associate (molecular physics) 
Ralph J. Barnhard,Chemistry and Biochemistry, senior instructor emeritus 
Bruce P. Branchaud,Chemistry and Biochemistry, professor emeritus 
Frederick W. Dahlquist,Chemistry and Biochemistry, professor emeritus 
Thomas R. Dyke,Chemistry and Biochemistry, professor emeritus 
O. Hayes Griffith,Chemistry and Biochemistry, professor emeritus 
David R. Herrick,Chemistry and Biochemistry, professor emeritus 
John F. W. Keana,Chemistry and Biochemistry, professor emeritus 
James W. Long,Chemistry and Biochemistry, senior instructor emeritus 
Robert M. Mazo,Chemistry and Biochemistry, professor emeritus 
John A. Schellman,Chemistry and Biochemistry, professor emeritus 
Peter H. von Hippel,Chemistry and Biochemistry, professor emeritus 
Raymond G. Wolfe Jr.,Chemistry and Biochemistry, professor emeritus 
Zena M. Ariola,Computer and Information Science," professor (programming languages, lambda calculus, logic) "
Hank Childs,Computer and Information Science," assistant professor (scientific visualization, high-performance computing, computer graphics) "
Dejing Dou,Computer and Information Science," associate professor (artificial intelligence, information integration, data mining) "
Stuart Faulk,Computer and Information Science," research associate (software engineering, software product lines, requirements engineering) "
Stephen F. Fickas,Computer and Information Science," professor (requirements engineering, software engineering, wearable ubiquitous computing) "
Kathleen Freeman Hennessy,Computer and Information Science, instructor; director of undergraduate studies 
Michael Hennessy,Computer and Information Science, senior instructor 
Anthony J. Hornof,Computer and Information Science," associate professor (human-computer interaction, cognitive modeling, eye tracking) "
Jun Li,Computer and Information Science," associate professor (computer and network security, network architectures and protocols, distributed systems) "
Daniel Lowd,Computer and Information Science," assistant professor (machine learning, data mining, artificial intelligence) "
Allen D. Malony,Computer and Information Science," professor (parallel processing, performance evaluation, neuroinformatics) "
Andrzej Proskurowski,Computer and Information Science, professor (algorithmic graph theory) 
Reza Rejaie,Computer and Information Science," associate professor (computer networks, multimedia networking, network measurement) "
Eric D. Wills,Computer and Information Science, instructor 
Christopher B. Wilson,Computer and Information Science," associate professor (computational complexity, models of computation) "
Michal Young,Computer and Information Science," associate professor (software engineering, software test and analysis) "
Sarah A. Douglas,Computer and Information Science, professor emerita 
Arthur M. Farley,Computer and Information Science, professor emeritus 
Virginia M. Lo,Computer and Information Science, associate professor emerita 
Eugene M. Luks,Computer and Information Science, professor emeritus 
Kent A. Stevens,Computer and Information Science, professor emeritus 
Jeffrey Stolet,Computer and Information Science, music 
Don M. Tucker,Computer and Information Science, psychology 
Peg Boulay,Environmental Studies," instructor (environmental monitoring, wildlife conservation, outreach and education); codirector, environmental leadership and advising "
Richard D. Margerum,Environmental Studies," associate professor (collaborative environmental management, conflict management in multistakeholder processes) "
Patricia F. McDowell,Environmental Studies, professor (river management and restoration) 
Brook Muller,Environmental Studies, associate professor (environmentally responsive architecture) 
Joshua J. Roering,Environmental Studies," associate professor (geomorphology, landscape evolution modeling) "
David Sutherland,Environmental Studies," assistant professor (ice-ocean interaction, coastal and estuarine oceanography) "
Patrick J. Bartlein,Environmental Studies, geography 
Carol Ann Bassett,Environmental Studies, journalism and communication 
Carla Bengtson,Environmental Studies, art 
Ann Bettman,Environmental Studies, landscape architecture 
Thomas H. Bivins,Environmental Studies, journalism and communication 
Christopher Bone,Environmental Studies, geography 
Gregory D. Bothun,Environmental Studies, physics 
G. Z. Brown,Environmental Studies, architecture 
Katharine V. Cashman,Environmental Studies, geological sciences 
Edward B. Davis,Environmental Studies, Museum of Natural and Cultural History 
Jerome Diethelm,Environmental Studies, landscape architecture 
Rebecca J. Dorsey,Environmental Studies, geological science 
Jeffrey Edmundson,Environmental Studies, education studies 
Mark Fonstad,Environmental Studies, geography 
Samantha Hopkins,Environmental Studies, honors college 
Carl J. Hosticka,Environmental Studies," planning, public policy and management "
David Hulse,Environmental Studies, landscape architecture 
James E. Hutchison,Environmental Studies, chemistry and biochemistry 
Renee A. Irvin,Environmental Studies," planning, public policy and management "
Colin Ives,Environmental Studies, art 
Grant Jacobsen,Environmental Studies," planning, public policy and management "
Bart Johnson,Environmental Studies, landscape architecture 
W. Andrew Marcus,Environmental Studies, geography 
Kate Meehan,Environmental Studies, geography 
Robert Z. Melnick,Environmental Studies, landscape architecture 
Erin Moore,Environmental Studies, architecture 
Cassandra Moseley,Environmental Studies, Institute for a Sustainable Environment 
Robert G. Parker,Environmental Studies," planning, public policy and management "
Max Nielsen-Pincus,Environmental Studies, Institute for a Sustainable Environment 
Stephen E. Ponder,Environmental Studies, journalism and communication 
Mark H. Reed,Environmental Studies, geological sciences 
Gregory J. Retallack,Environmental Studies, geological sciences 
John S. Reynolds,Environmental Studies, architecture 
Robert G. Ribe,Environmental Studies, landscape architecture 
Michael V. Russo,Environmental Studies, management 
Marc Schlossberg,Environmental Studies," planning, public policy and management "
Paul Slovic,Environmental Studies, psychology 
Kelly Sutherland,Environmental Studies, geological sciences 
Douglas R. Toomey,Environmental Studies, geological sciences 
Ray J. Weldon,Environmental Studies, geological sciences 
Mary C. Wood,Environmental Studies, law 
Yizhao Yang,Environmental Studies," planning, public policy and management "
Daniel Gavin,Geography," associate professor (biogeography, paleoecology, climate change) "
Amy K. Lobben,Geography," associate professor (geographic information system science, behavioral geography, data visualization) "
James E. Meacham,Geography," senior research associate (geographic information systems, cartography, atlas design and production); administrative and research director, InfoGraphics Laboratory "
Blake Andrew,Geography," cartographic program specialist (geographic information systems, cartography); GIS program specialist, InfoGraphics Lab "
Jacob Bartruff,Geography," spatial analyst programmer (geographic information systems, web application development); employee, InfoGraphics Lab "
Clark,Geography, Jessie H 
Donald G. Holtgrieve,Geography," adjunct assistant professor (environmental planning, resource management, watershed issues) "
Kenneth Kato,Geography," senior research assistant (geographic information systems, planning, cartography); assistant director, InfoGraphics Lab "
Nicholas P. Kohler,Geography," instructor (geographic information systems, cartography, human-environmental relations) "
Alethea Steingisser,Geography," research assistant (cartography and graphic design, geographic information systems); designer and production manager, InfoGraphics Lab "
Stanton A. Cook,Geography, professor emeritus 
Carl L. Johannessen,Geography, professor emeritus 
Clyde P. Patton,Geography, professor emeritus 
Everett G. Smith Jr.,Geography, professor emeritus 
Alvin W. Urquhart,Geography, professor emeritus 
Ilya N. Bindeman,Geological Sciences," associate professor (stable isotope geochemistry, volcanology) "
Emilie Hooft Toomey,Geological Sciences, associate professor (marine geophysics) 
Eugene D. Humphreys,Geological Sciences," professor (seismology, regional tectonics) "
Qusheng Jin,Geological Sciences, associate professor (biogeoscience) 
A. Dana Johnston,Geological Sciences," professor (experimental petrology, geochemistry) "
Marli B. Miller,Geological Sciences, senior instructor (structural geology) 
Alan W. Rempel,Geological Sciences, associate professor (geomechanics and applied mathematics) 
David A. Sutherland,Geological Sciences, assistant professor (physical oceanography) 
Paul J. Wallace,Geological Sciences," professor (igneous petrology, volcanology, geochemistry) "
James M. Watkins,Geological Sciences," assistant professor (experimental petrology, geochemistry, volcanology) "
David Krinsley,Geological Sciences, courtesy professor (electron microscopy) 
John M. Logan,Geological Sciences, courtesy professor (rock mechanics) 
John Donovan,Geological Sciences, research assistant (electron beam microanalysis) 
Dennis K. Fletcher,Geological Sciences, research assistant 
James Palandri,Geological Sciences, research associate 
Sam Boggs,Geological Sciences, professor emeritus 
M. Allan Kays,Geological Sciences, professor emeritus 
Alexander R. McBirney,Geological Sciences, professor emeritus 
William N. Orr,Geological Sciences, professor emeritus 
Jack M. Rice,Geological Sciences, professor emeritus 
Norman M. Savage,Geological Sciences, professor emeritus 
Harve S. Waff,Geological Sciences, professor emeritus 
Daniel Weill,Geological Sciences, professor emeritus 
Shabnam Akhtari,Mathematics, assistant professor (number theory) 
Arkadiy D. Berenstein,Mathematics," professor (quantum groups, representation theory) "
Boris Botvinnik,Mathematics, professor (algebraic topology) 
Marcin Bownik,Mathematics," professor (harmonic analysis, wavelets) "
Jonathan Brundan,Mathematics," professor (Lie theory, representation theory) "
Daniel K. Dugger,Mathematics," associate professor (algebraic topology and geometry, K-theory, commutative algebra) "
Peter B. Gilkey,Mathematics," professor (global analysis, differential geometry) "
Hayden Harker,Mathematics, instructor 
Weiyong He,Mathematics," assistant professor (differential geometry, geometric analysis and partial differential equations) "
Fred Hervert,Mathematics, senior instructor 
James A. Isenberg,Mathematics," professor (mathematical physics, differential geometry, nonlinear partial differential equations) "
Alexander S. Kleshchev,Mathematics," professor (algebra, representation theory) "
David A. Levin,Mathematics, associate professor (probability theory and stochastic processes) 
Huaxin Lin,Mathematics, professor (functional analysis) 
Peng Lu,Mathematics," professor (differential geometry, geometric analysis) "
Jean B. Nganou,Mathematics, instructor (finite dimensional division algebras) 
Victor V. Ostrik,Mathematics, professor (representation theory) 
N. Christopher Phillips,Mathematics, professor (functional analysis) 
Alexander Polishchuk,Mathematics, professor (algebraic geometry) 
Michael R. Price,Mathematics, senior instructor; assistant department head 
Nicholas J. Proudfoot,Mathematics," associate professor (algebraic geometry, combinatorics, topological groups) "
Hal Sadofsky,Mathematics," associate professor (algebraic topology, homotopy theory) "
Brad S. Shelton,Mathematics," professor (Lie groups, harmonic analysis, representations) "
Christopher D. Sinclair,Mathematics," associate professor (random matrix theory, number theory) "
Dev P. Sinha,Mathematics, associate professor (algebraic and differential topology) 
Bartlomiej A. Siudeja,Mathematics," assistant professor (probability, differential equations) "
Craig Tingey,Mathematics, senior instructor 
Arkady Vaintrob,Mathematics," associate professor (algebraic geometry, Lie theory and representation theory, mathematical physics) "
Hao Wang,Mathematics," associate professor (mathematics of finance, probability, statistics) "
Micah Warren,Mathematics, assistant professor (geometric analysis) 
Yuan Xu,Mathematics, professor (numerical analysis) 
Benjamin Young,Mathematics, assistant professor (combinatorics) 
Sergey Yuzvinsky,Mathematics," professor (representation theory, combinatorics, multiplication of forms) "
Robert M. Solovay,Mathematics," courtesy professor (quantum computation, logic) "
Frank W. Anderson,Mathematics, professor emeritus 
Fred C. Andrews,Mathematics, professor emeritus 
Bruce A. Barnes,Mathematics, professor emeritus 
Richard B. Barrar,Mathematics, professor emeritus 
Glenn T. Beelman,Mathematics, senior instructor emeritus 
Charles W. Curtis,Mathematics, professor emeritus 
Micheal N. Dyer,Mathematics, professor emeritus 
Robert S. Freeman,Mathematics, associate professor emeritus 
William M. Kantor,Mathematics, professor emeritus 
Richard M. Koch,Mathematics, professor emeritus 
John V. Leahy,Mathematics, professor emeritus 
Shlomo Libeskind,Mathematics, professor emeritus 
Theodore W. Palmer,Mathematics, professor emeritus 
Kenneth A. Ross,Mathematics, professor emeritus 
Gary M. Seitz,Mathematics, professor emeritus 
Allan J. Sieradski,Mathematics, professor emeritus 
Stuart Thomas,Mathematics, senior instructor emeritus 
Donald R. Truax,Mathematics, professor emeritus 
Marie A. Vitulli,Mathematics, professor emerita 
Marion I. Walter,Mathematics, professor emerita 
Lewis E. Ward Jr.,Mathematics, professor emeritus 
Jerry M. Wolfe,Mathematics, associate professor emeritus 
Charles R. B. Wright,Mathematics, professor emeritus 
Edward Awh,Neuroscience, psychology 
Paul Dassonville,Neuroscience, psychology 
Clifford Kentros,Neuroscience, psychology 
Cristopher Neill,Neuroscience, biology 
Edward Vogel,Neuroscience, psychology 
Michael Wehr,Neuroscience, psychology 
Dietrich Belitz,Physics, professor (condensed matter theory) 
James E. Brau,Physics, Philip H 
Spencer Chang,Physics, assistant professor (theoretical high-energy physics) 
Eric Corwin,Physics," assistant professor (biophysics, soft condensed matter) "
Paul L. Csonka,Physics, professor (elementary particle theory) 
Nilendra G. Deshpande,Physics, professor (elementary particle theory) 
Miriam Deutsch,Physics, professor (optical physics) 
Russell J. Donnelly,Physics," professor (physics of fluids, superfluidity, astrophysics) "
R. Scott Fisher,Physics, lecturer (astronomy) 
Raymond E. Frey,Physics, professor (experimental elementary particle physics) 
Stephen Gregory,Physics, associate professor (solid state physics) 
Roger Haydock,Physics, professor (solid state theory) 
Stephen D. H. Hsu,Physics, professor (elementary particle theory) 
James N. Imamura,Physics," professor (astrophysics); director, Institute of Theoretical Science "
Timothy Jenkins,Physics, senior instructor (physics education) 
Stephen D. Kevan,Physics, professor (solid state physics) 
Graham Kribs,Physics, associate professor (elementary particle theory) 
Dean W. Livelybrooks,Physics, senior instructor (geophysics) 
Stephanie Majewski,Physics, assistant professor (experimental elementary particle physics) 
Brian W. Matthews,Physics, professor (protein crystallography) 
Benjamin McMorran,Physics," assistant professor (experimental condensed matter, optical physics) "
Stanley J. Micklavzina,Physics, senior instructor (physics education) 
Jens Nockel,Physics, associate professor (optical physics) 
Raghuveer Parthasarathy,Physics," associate professor (condensed matter physics, biophysics) "
Stephen J. Remington,Physics, professor (protein crystallography) 
James M. Schombert,Physics, professor (astronomy) 
Davison E. Soper,Physics, professor (elementary particle theory) 
Daniel Steck,Physics, associate professor (atom optics and nonlinear dynamics) 
David M. Strom,Physics, professor (experimental elementary particle physics) 
Richard P. Taylor,Physics, professor (solid state physics) 
John J. Toner,Physics, professor (condensed matter theory) 
Eric Torrence,Physics, professor (experimental elementary particle physics) 
Steven J. van Enk,Physics, professor (theoretical optical physics) 
Hailin Wang,Physics, professor (quantum optics) 
Robert Schofield,Physics, senior research associate (nuclear biophysics) 
Nikolai Sinev,Physics, senior research associate (experimental high energy physics) 
Frank Vignola,Physics, senior research associate (solar energy) 
Bernd Crasemann,Physics, professor emeritus 
Marvin D. Girardeau,Physics, professor emeritus 
Rudolph C. Hwa,Physics, professor emeritus 
Harlan Lefevre,Physics, professor emeritus 
Joel W. McClure Jr.,Physics, professor emeritus 
David K. McDaniels,Physics, professor emeritus 
John T. Moseley,Physics, professor emeritus 
Jack C. Overley,Physics, professor emeritus 
Kwangjai Park,Physics, professor emeritus 
George W. Rayfield,Physics, professor emeritus 
David R. Sokoloff,Physics, professor emeritus 
Robert L. Zimmerman,Physics, professor emeritus 
Jennifer Ablow,Psychology," associate professor (developmental psychopathology, attachment, interpersonal emotional arousal and regulation) "
Nicholas Allen,Psychology," Ann Swindells Professor of Clinical Psychology (adolescent development and mental health, mood disorders, developmental social and affective neuroscience) "
Holly Arrow,Psychology," professor (group dynamics, psychology of war) "
Elliot Berkman,Psychology," assistant professor (affective neuroscience, self-regulation, quantitative methods for neuroimaging) "
Kimberly Andrews Espy,Psychology," professor (developmental cognitive neuroscience); vice president for research and innovation; dean, Graduate School "
Philip A. Fisher,Psychology," professor (prevention research, stress neurobiology, foster care) "
Gordon C. Nagayama Hall,Psychology," professor (sociocultural context of psychopathology, sexual aggression) "
Sara D. Hodges,Psychology," professor (social cognition, construction of social judgments) "
Heidemarie K. Laurent,Psychology," courtesy research associate (biology of stress regulation, interpersonal relationships, mindfulness) "
Robert Mauro,Psychology," associate professor (social, emotions, psychology and law) "
Ulrich Mayr,Psychology," Robert and Beverly Lewis Professor in Neuroscience (cognitive, cognitive aging, neurocognitive analysis) "
Jeffrey Measelle,Psychology," associate professor (developmental psychology, emotional development, family) "
Pranjal Mehta,Psychology," assistant professor (social neuroscience, status hierarchies, social decision-making) "
